Opponent,HomeBool,FTHG,FTAG,ScoreDiff,Results,WinStreak,TGS
Wolves,0,2,2,0,1,0,0
Southampton,1,2,1,1,2,1,0
Bournemouth,0,2,2,0,1,0,0
Huddersfield,1,1,1,0,1,0,0
West Ham,1,1,3,-2,0,0,0
Arsenal,0,2,0,-2,0,0,0
Fulham,1,3,0,3,2,1,0
Leicester,0,1,2,1,2,2,0
Crystal Palace,1,2,0,2,2,3,1
Man United,0,2,1,-1,0,0,0
Brighton,1,3,1,2,2,1,0
Chelsea,0,0,0,0,1,0,0
Cardiff,1,1,0,1,2,1,0
Liverpool,0,1,0,-1,0,0,0
Newcastle,1,1,1,0,1,0,0
Watford,1,2,2,0,1,0,0
Man City,0,3,1,-2,0,0,0
Tottenham,1,2,6,-4,0,0,0
Burnley,0,1,5,4,2,1,0
Brighton,0,1,0,-1,0,0,0
Leicester,1,0,1,-1,0,0,0
Bournemouth,1,2,0,2,2,1,0
Southampton,0,2,1,-1,0,0,0
Huddersfield,0,0,1,1,2,1,0
Wolves,1,1,3,-2,0,0,0
Man City,1,0,2,-2,0,0,0
Watford,0,1,0,-1,0,0,0
Cardiff,0,0,3,3,2,1,0
Liverpool,1,0,0,0,1,0,0
Newcastle,0,3,2,-1,0,0,0
Chelsea,1,2,0,2,2,1,0
West Ham,0,0,2,2,2,2,0
Arsenal,1,1,0,1,2,3,1
Fulham,0,2,0,-2,0,0,0
Man United,1,4,0,4,2,1,0
Crystal Palace,0,0,0,0,1,0,0
Burnley,1,2,0,2,2,1,0
Tottenham,0,2,2,0,1,0,0
Crystal Palace,0,0,0,0,1,0,0
Watford,1,1,0,1,2,1,0
Aston Villa,0,2,0,-2,0,0,0
Wolves,1,3,2,1,2,1,0
Bournemouth,0,3,1,-2,0,0,0
Sheffield United,1,0,2,-2,0,0,0
Man City,1,1,3,-2,0,0,0
Burnley,0,1,0,-1,0,0,0
West Ham,1,2,0,2,2,1,0
Brighton,0,3,2,-1,0,0,0
Tottenham,1,1,1,0,1,0,0
Southampton,0,1,2,1,2,1,0
Norwich,1,0,2,-2,0,0,0
Leicester,0,2,1,-1,0,0,0
Liverpool,0,5,2,-3,0,0,0
Chelsea,1,3,1,2,2,1,0
Man United,0,1,1,0,1,0,0
Arsenal,1,0,0,0,1,0,0
Burnley,1,1,0,1,2,1,0
Newcastle,0,1,2,1,2,2,0
Man City,0,2,1,-1,0,0,0
Brighton,1,1,0,1,2,1,0
West Ham,0,1,1,0,1,0,0
Newcastle,1,2,2,0,1,0,0
Watford,0,2,3,1,2,1,0
Crystal Palace,1,3,1,2,2,2,0
Arsenal,0,3,2,-1,0,0,0
Man United,1,1,1,0,1,0,0
Chelsea,0,4,0,-4,0,0,0
Liverpool,1,0,0,0,1,0,0
Norwich,0,0,1,1,2,1,0
Leicester,1,2,1,1,2,2,0
Tottenham,0,1,0,-1,0,0,0
Southampton,1,1,1,0,1,0,0
Wolves,0,3,0,-3,0,0,0
Aston Villa,1,1,1,0,1,0,0
Sheffield United,0,0,1,1,2,1,0
Bournemouth,1,1,3,-2,0,0,0
Tottenham,0,0,1,1,2,1,0
West Brom,1,5,2,3,2,2,0
Crystal Palace,0,1,2,1,2,3,1
Brighton,1,4,2,2,2,4,1
Liverpool,1,2,2,0,1,0,0
Southampton,0,2,0,-2,0,0,0
Newcastle,0,2,1,-1,0,0,0
Man United,1,1,3,-2,0,0,0
Fulham,0,2,3,1,2,1,0
Leeds,1,0,1,-1,0,0,0
Burnley,0,1,1,0,1,0,0
Chelsea,1,1,0,1,2,1,0
Leicester,0,0,2,2,2,2,0
Arsenal,1,2,1,1,2,3,1
Sheffield United,0,0,1,1,2,4,1
West Ham,1,0,1,-1,0,0,0
Wolves,0,1,2,1,2,1,0
Leicester,1,1,1,0,1,0,0
Newcastle,1,0,2,-2,0,0,0
Leeds,0,1,2,1,2,1,0
Man United,0,3,3,0,1,0,0
Fulham,1,0,2,-2,0,0,0
Man City,1,1,3,-2,0,0,0
Liverpool,0,0,2,2,2,1,0
Southampton,1,1,0,1,2,2,0
West Brom,0,0,1,1,2,3,1
Chelsea,0,2,0,-2,0,0,0
Burnley,1,1,2,-1,0,0,0
Crystal Palace,1,1,1,0,1,0,0
Brighton,0,0,0,0,1,0,0
Tottenham,1,2,2,0,1,0,0
Arsenal,0,0,1,1,2,1,0
Aston Villa,1,1,2,-1,0,0,0
West Ham,0,0,1,1,2,1,0
Aston Villa,0,0,0,0,1,0,0
Sheffield United,1,0,1,-1,0,0,0
Wolves,1,1,0,1,2,1,0
Man City,0,5,0,-5,0,0,0
